番号,都道府県,市郡,区町村,男,女,,
09205,栃木県,鹿沼市,  ,80.9,86.7,,
09206,栃木県,日光市,  ,80.0,86.7,,
09208,栃木県,小山市,  ,80.8,87.1,,
09209,栃木県,真岡市,  ,80.8,86.8,,
09210,栃木県,大田原市,  ,80.9,87.0,,
09211,栃木県,矢板市,  ,80.9,86.5,,
09213,栃木県,那須塩原市,  ,81.4,86.9,,
09214,栃木県,さくら市,  ,81.5,87.1,,
09215,栃木県,那須烏山市,  ,80.8,86.5,,
09216,栃木県,下野市,  ,81.9,87.3,,
09301,栃木県,河内郡,上三川町,81.3,87.0,,
09342,栃木県,芳賀郡,益子町,81.1,86.7,,
09343,栃木県,芳賀郡,茂木町,80.7,86.8,,
09344,栃木県,芳賀郡,市貝町,81.0,87.0,,
09345,栃木県,芳賀郡,芳賀町,80.6,87.0,,
09361,栃木県,下都賀郡,壬生町,81.1,87.2,,
09364,栃木県,下都賀郡,野木町,81.3,87.0,,
09384,栃木県,塩谷郡,塩谷町,81.1,86.6,,
09386,栃木県,塩谷郡,高根沢町,81.1,87.3,,
09407,栃木県,那須郡,那須町,80.9,87.1,,
09411,栃木県,那須郡,那珂川町,81.0,87.3,,
10201,群馬県,前橋市,  ,81.7,87.6,,
10202,群馬県,高崎市,  ,81.2,87.6,,
10203,群馬県,桐生市,  ,80.5,86.7,,
10204,群馬県,伊勢崎市,  ,80.9,87.0,,
10205,群馬県,太田市,  ,80.8,86.7,,
10206,群馬県,沼田市,  ,81.0,87.7,,
10207,群馬県,館林市,  ,81.0,87.0,,
10208,群馬県,渋川市,  ,80.7,86.9,,
10209,群馬県,藤岡市,  ,81.1,87.4,,
10210,群馬県,富岡市,  ,81.2,87.1,,
10211,群馬県,安中市,  ,81.2,87.2,,
10212,群馬県,みどり市,  ,80.6,86.7,,
10344,群馬県,北群馬郡,榛東村,81.0,87.5,,
10345,群馬県,北群馬郡,吉岡町,81.9,87.3,,
10366,群馬県,多野郡,上野村,81.3,87.3,,
10367,群馬県,多野郡,神流町,81.0,87.2,,
10382,群馬県,甘楽郡,下仁田町,81.1,87.2,,
10383,群馬県,甘楽郡,南牧村,81.3,87.0,,
10384,群馬県,甘楽郡,甘楽町,81.1,86.9,,
10421,群馬県,吾妻郡,中之条町,81.3,87.3,,
10424,群馬県,吾妻郡,長野原町,81.3,87.2,,
10425,群馬県,吾妻郡,嬬恋村,81.4,87.5,,
10426,群馬県,吾妻郡,草津町,81.3,87.1,,
10428,群馬県,吾妻郡,高山村,81.1,87.1,,
10429,群馬県,吾妻郡,東吾妻町,81.2,87.2,,
10443,群馬県,利根郡,片品村,81.2,87.2,,
